provider,buffer_depth_ms,pause_ms,all_positions_success_rate,ci_low,ci_high,n_traces,n_prompts
cartesia,80.0,0.0,1.0,0.9689808335812966,1.0,120,6
cartesia,80.0,50.0,1.0,0.9689808335812966,1.0,120,6
cartesia,80.0,100.0,1.0,0.9689808335812966,1.0,120,6
cartesia,80.0,200.0,0.9916666666666667,0.9543037087549505,1.0,120,6
cartesia,80.0,400.0,0.9083333333333333,0.7166666666666667,1.0,120,6
cartesia,80.0,800.0,0.6666666666666666,0.3333333333333333,1.0,120,6
cartesia,80.0,1200.0,0.6583333333333333,0.31666666666666665,1.0,120,6
deepgram,80.0,0.0,1.0,0.9689808335812966,1.0,120,6
deepgram,80.0,50.0,1.0,0.9689808335812966,1.0,120,6
deepgram,80.0,100.0,1.0,0.9689808335812966,1.0,120,6
deepgram,80.0,200.0,0.9916666666666667,0.9543037087549505,1.0,120,6
deepgram,80.0,400.0,0.6666666666666666,0.3333333333333333,1.0,120,6
deepgram,80.0,800.0,0.3333333333333333,0.0,0.6666666666666666,120,6
deepgram,80.0,1200.0,0.3333333333333333,0.0,0.6666666666666666,120,6
elevenlabs,80.0,0.0,1.0,0.9689808335812966,1.0,120,6
elevenlabs,80.0,50.0,1.0,0.9689808335812966,1.0,120,6
elevenlabs,80.0,100.0,1.0,0.9689808335812966,1.0,120,6
elevenlabs,80.0,200.0,1.0,0.9689808335812966,1.0,120,6
elevenlabs,80.0,400.0,1.0,0.9689808335812966,1.0,120,6
elevenlabs,80.0,800.0,0.6666666666666666,0.3333333333333333,1.0,120,6
elevenlabs,80.0,1200.0,0.6666666666666666,0.3333333333333333,1.0,120,6
