provider,buffer_depth_ms,metric,estimate,ci_low,ci_high,n_traces,n_prompts
bursty_same_ttfa,0.0,median_ttfa_ms,124.03551762919889,122.38765024652369,126.54932063812272,120,6
bursty_same_ttfa,0.0,median_delivery_rtf,1.1422673851652045,1.089955600979016,1.2316044173688891,120,6
bursty_same_ttfa,0.0,median_trace_p95_interarrival_ms,155.82618575275546,154.77477748567668,156.76976755510123,120,6
bursty_same_ttfa,0.0,median_trace_p95_pacing_error_ms,115.82618575275546,114.75618612192049,116.68920383695456,120,6
bursty_same_ttfa,0.0,glitch_free_rate,0.0,0.0,0.0,120,6
bursty_same_ttfa,0.0,mean_underruns_per_utterance,2.775,2.033125,3.591666666666667,120,6
bursty_same_ttfa,0.0,mean_total_stall_ms,110.41124118256197,103.07073204596317,119.19151347511962,120,6
bursty_same_ttfa,0.0,median_trace_p95_recovery_ms,86.59420847698206,82.89328505157278,88.1352751430027,120,6
bursty_same_ttfa,20.0,median_ttfa_ms,124.03551762919889,122.42027940571337,126.9517520573023,120,6
bursty_same_ttfa,20.0,median_delivery_rtf,1.1422673851652045,1.0899403760526976,1.2316044173688891,120,6
bursty_same_ttfa,20.0,median_trace_p95_interarrival_ms,155.82618575275546,154.70945189971115,156.76976755510123,120,6
bursty_same_ttfa,20.0,median_trace_p95_pacing_error_ms,115.82618575275546,114.70021950468052,116.76976755510121,120,6
bursty_same_ttfa,20.0,glitch_free_rate,0.0,0.0,0.0,120,6
bursty_same_ttfa,20.0,mean_underruns_per_utterance,2.775,2.033333333333333,3.6333333333333333,120,6
bursty_same_ttfa,20.0,mean_total_stall_ms,110.41124118256197,103.15403735906665,118.49635180241314,120,6
bursty_same_ttfa,20.0,median_trace_p95_recovery_ms,86.59420847698206,82.74942847072461,88.27443547185759,120,6
bursty_same_ttfa,40.0,median_ttfa_ms,124.03551762919889,122.52313007618926,126.54932063812272,120,6
bursty_same_ttfa,40.0,median_delivery_rtf,1.1422673851652045,1.089955600979016,1.2325610033364458,120,6
bursty_same_ttfa,40.0,median_trace_p95_interarrival_ms,155.82618575275546,154.80292034412986,156.7074071287482,120,6
bursty_same_ttfa,40.0,median_trace_p95_pacing_error_ms,115.82618575275546,114.7092210898354,116.70747413842766,120,6
bursty_same_ttfa,40.0,glitch_free_rate,0.0,0.0,0.0,120,6
bursty_same_ttfa,40.0,mean_underruns_per_utterance,2.775,2.0164583333333335,3.591666666666667,120,6
bursty_same_ttfa,40.0,mean_total_stall_ms,110.41124118256197,102.51506581263425,118.40357706219606,120,6
bursty_same_ttfa,40.0,median_trace_p95_recovery_ms,86.59420847698206,82.93965926656877,88.42257412996283,120,6
bursty_same_ttfa,80.0,median_ttfa_ms,124.03551762919889,122.42027940571337,126.54524997523285,120,6
bursty_same_ttfa,80.0,median_delivery_rtf,1.1422673851652045,1.089955600979016,1.2316044173688891,120,6
bursty_same_ttfa,80.0,median_trace_p95_interarrival_ms,155.82618575275546,154.76426741707175,156.7074268787914,120,6
bursty_same_ttfa,80.0,median_trace_p95_pacing_error_ms,115.82618575275546,114.70945189971115,116.68163189489633,120,6
bursty_same_ttfa,80.0,glitch_free_rate,0.0,0.0,0.0,120,6
bursty_same_ttfa,80.0,mean_underruns_per_utterance,2.775,2.0164583333333335,3.591666666666667,120,6
bursty_same_ttfa,80.0,mean_total_stall_ms,92.65901328449135,85.39996658788203,100.52332311123452,120,6
bursty_same_ttfa,80.0,median_trace_p95_recovery_ms,70.31805395269768,67.84161608616036,71.8610132671845,120,6
bursty_same_ttfa,120.0,median_ttfa_ms,124.03551762919889,122.38765024652369,126.86882063993284,120,6
bursty_same_ttfa,120.0,median_delivery_rtf,1.1422673851652045,1.0868011831433453,1.2316044173688891,120,6
bursty_same_ttfa,120.0,median_trace_p95_interarrival_ms,155.82618575275546,154.7469763857256,156.76976755510123,120,6
bursty_same_ttfa,120.0,median_trace_p95_pacing_error_ms,115.82618575275546,114.76404329232815,116.68920383695456,120,6
bursty_same_ttfa,120.0,glitch_free_rate,1.0,1.0,1.0,120,6
bursty_same_ttfa,120.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
bursty_same_ttfa,120.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
bursty_same_ttfa,120.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
bursty_same_ttfa,200.0,median_ttfa_ms,124.03551762919889,122.45313097684041,127.02902367500616,120,6
bursty_same_ttfa,200.0,median_delivery_rtf,1.1422673851652045,1.089955600979016,1.2316044173688891,120,6
bursty_same_ttfa,200.0,median_trace_p95_interarrival_ms,155.82618575275546,154.76406595116387,156.6896589192494,120,6
bursty_same_ttfa,200.0,median_trace_p95_pacing_error_ms,115.82618575275546,114.70945189971115,116.76976755510121,120,6
bursty_same_ttfa,200.0,glitch_free_rate,1.0,1.0,1.0,120,6
bursty_same_ttfa,200.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
bursty_same_ttfa,200.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
bursty_same_ttfa,200.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
late_but_steady,0.0,median_ttfa_ms,219.96118023870395,218.45328216648977,221.86040483958988,120,6
late_but_steady,0.0,median_delivery_rtf,1.081126964450875,0.9320199275435932,1.1339357836619295,120,6
late_but_steady,0.0,median_trace_p95_interarrival_ms,34.74103709062454,34.57468416107051,34.97776839311232,120,6
late_but_steady,0.0,median_trace_p95_pacing_error_ms,-5.258962909375464,-5.425315838929492,-5.019857960946605,120,6
late_but_steady,0.0,glitch_free_rate,1.0,1.0,1.0,120,6
late_but_steady,0.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
late_but_steady,0.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
late_but_steady,0.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
late_but_steady,20.0,median_ttfa_ms,219.96118023870395,218.3003148405513,221.8563329373585,120,6
late_but_steady,20.0,median_delivery_rtf,1.081126964450875,0.9320364095619204,1.1335783282368594,120,6
late_but_steady,20.0,median_trace_p95_interarrival_ms,34.74103709062454,34.578914648964485,34.952686891517864,120,6
late_but_steady,20.0,median_trace_p95_pacing_error_ms,-5.258962909375464,-5.425315838929492,-5.04731310848214,120,6
late_but_steady,20.0,glitch_free_rate,1.0,1.0,1.0,120,6
late_but_steady,20.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
late_but_steady,20.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
late_but_steady,20.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
late_but_steady,40.0,median_ttfa_ms,219.96118023870395,218.35001027462053,221.95349216938516,120,6
late_but_steady,40.0,median_delivery_rtf,1.081126964450875,0.9313771288288318,1.1335783282368594,120,6
late_but_steady,40.0,median_trace_p95_interarrival_ms,34.74103709062454,34.57468416107051,34.952686891517864,120,6
late_but_steady,40.0,median_trace_p95_pacing_error_ms,-5.258962909375464,-5.421094095858403,-5.04731310848214,120,6
late_but_steady,40.0,glitch_free_rate,1.0,1.0,1.0,120,6
late_but_steady,40.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
late_but_steady,40.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
late_but_steady,40.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
late_but_steady,80.0,median_ttfa_ms,219.96118023870395,218.45328216648977,221.95349216938516,120,6
late_but_steady,80.0,median_delivery_rtf,1.081126964450875,0.9313404143788437,1.1339963372930923,120,6
late_but_steady,80.0,median_trace_p95_interarrival_ms,34.74103709062454,34.578914648964485,34.96641446528563,120,6
late_but_steady,80.0,median_trace_p95_pacing_error_ms,-5.258962909375464,-5.421532161325359,-5.019857960946605,120,6
late_but_steady,80.0,glitch_free_rate,1.0,1.0,1.0,120,6
late_but_steady,80.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
late_but_steady,80.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
late_but_steady,80.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
late_but_steady,120.0,median_ttfa_ms,219.96118023870395,218.55655405835904,221.86040483958988,120,6
late_but_steady,120.0,median_delivery_rtf,1.081126964450875,0.9307178480957433,1.1339372975027084,120,6
late_but_steady,120.0,median_trace_p95_interarrival_ms,34.74103709062454,34.578914648964485,34.9801420390534,120,6
late_but_steady,120.0,median_trace_p95_pacing_error_ms,-5.258962909375464,-5.425315838929492,-5.028550888001783,120,6
late_but_steady,120.0,glitch_free_rate,1.0,1.0,1.0,120,6
late_but_steady,120.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
late_but_steady,120.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
late_but_steady,120.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
late_but_steady,200.0,median_ttfa_ms,219.96118023870395,218.35001027462053,221.75770184837194,120,6
late_but_steady,200.0,median_delivery_rtf,1.081126964450875,0.9307178480957433,1.1335783282368594,120,6
late_but_steady,200.0,median_trace_p95_interarrival_ms,34.74103709062454,34.578914648964485,34.952686891517864,120,6
late_but_steady,200.0,median_trace_p95_pacing_error_ms,-5.258962909375464,-5.425315838929492,-5.04731310848214,120,6
late_but_steady,200.0,glitch_free_rate,1.0,1.0,1.0,120,6
late_but_steady,200.0,mean_underruns_per_utterance,0.0,0.0,0.0,120,6
late_but_steady,200.0,mean_total_stall_ms,0.0,0.0,0.0,120,6
late_but_steady,200.0,median_trace_p95_recovery_ms,0.0,0.0,0.0,120,6
steady,0.0,median_ttfa_ms,124.64577178383647,123.41796675627836,126.24240614443644,120,6
steady,0.0,median_delivery_rtf,0.9655986492164448,0.9004065175833826,0.9814339980511694,120,6
steady,0.0,median_trace_p95_interarrival_ms,37.27125437061706,36.84708580694737,37.730496797968996,120,6
steady,0.0,median_trace_p95_pacing_error_ms,-2.7287456293829404,-3.149944359025332,-2.2392055015182684,120,6
steady,0.0,glitch_free_rate,0.9916666666666667,0.9666666666666667,1.0,120,6
